Year,Under 5 ,5-14 years ,15-49 years,50-69 years,70+ years
1990,410165.3852,21182.07986,16667.84754,22144.17747,41695.23282
1991,403252.6493,21078.22585,16695.73956,21972.66026,42261.16343
1992,394389.7996,20608.02349,16682.3608,21864.46673,42670.45508
1993,384905.1255,19945.98418,16657.60833,21733.30505,43417.27194
1994,378364.72,19219.55819,16721.64971,21704.05234,44171.83411
1995,413062.2116,20906.3103,22573.74541,30313.78255,61855.90257
1996,397934.6938,19741.25599,22257.33422,30126.75096,61893.42685
1997,385220.8523,18890.50144,22168.77235,30236.61402,62652.04912
1998,372491.9849,18082.7918,22014.0492,30222.92412,63361.42281
1999,361540.1441,17130.57422,21838.92305,30069.02123,64121.87378
2000,352440.4764,16584.80809,21812.81738,30105.00844,64965.40343
2001,336718.2543,16074.16197,21457.16044,29935.75984,65729.75198
2002,321767.4135,15018.80213,21163.93641,29812.01191,66299.86745
2003,269420.7027,11716.80564,14150.03303,19271.81994,45799.51852
2004,257343.4019,11655.0409,13821.52213,18842.56529,45141.99148
2005,246077.2115,11440.63016,13523.66157,18498.88679,44857.72113
2006,236823.1579,11014.53663,13181.95032,18207.36611,44505.63068
2007,227289.0338,10726.82315,12853.13699,18032.35477,44552.44383
2008,217640.8234,10578.89908,12743.33913,18023.92938,45334.89384
2009,209730.8333,10394.71721,12675.4663,18108.64101,46353.90383
2010,209830.5078,10542.69065,13025.58342,18671.44151,47885.82931
2011,199545.0895,10008.48196,12636.66518,18528.78011,48188.12501
2012,182412.2379,9091.078065,11821.90187,18063.06422,48185.80224
2013,172481.5875,8557.915249,11518.07784,18001.69924,48643.74373
2014,163270.3081,8117.95469,11343.45205,18079.51564,49500.60033
2015,155597.7391,7699.433194,11247.17448,18362.56607,50843.68612
2016,147188.1208,7421.649673,11286.47347,18681.78447,51851.58202
2017,140281.4121,7286.162597,11491.13676,19151.16275,53561.11784
